[(291, 297) 270.418690397154]
[(292, 298) 273.5203250686151]
[(293, 297) 272.34394487228417]
[(293, 299) 268.0994293349879]
[(294, 297) 274.62178106674145]
[(294, 298) 273.9344296917671]
[(295, 291) 269.2767783225066]
[(295, 299) 288.60490708484673]
[(296, 294) 282.7723018587216]
[(296, 296) 278.6939459542414]
[(296, 298) 275.7966602813034]
[(296, 299) 289.69810242989234]
[(297, 296) 277.4450188288242]
[(297, 297) 273.5320387368608]
[(297, 298) 286.86082415220307]
[(298, 290) 269.1829666573698]
[(298, 292) 273.82619898990794]
[(298, 295) 271.52428767139594]
[(298, 297) 269.8785857467207]
[(298, 298) 274.6258769251215]
[(298, 299) 286.1842279796834]
[(299, 296) 279.25624733999837]
[(299, 297) 276.5055466810412]
[(299, 298) 281.6917507238399]
[(299, 299) 288.8856177364696]
