[(283, 298) 272.52397915664704]
[(284, 298) 271.7426768742536]
[(285, 298) 275.97642655790827]
[(288, 299) 276.1012751834389]
[(294, 298) 273.6277227198781]
[(296, 293) 270.977856862322]
[(296, 295) 273.507245147568]
[(296, 296) 279.6915966979461]
[(296, 298) 279.561785964083]
[(297, 296) 277.7791339913269]
[(297, 297) 274.331007370318]
[(297, 298) 273.49856832158974]
[(297, 299) 295.21676967175034]
[(298, 292) 277.9963293363303]
[(298, 294) 284.91477575832056]
[(298, 296) 275.20152065143594]
[(298, 297) 277.642867480707]
[(298, 298) 285.30007051149755]
[(298, 299) 295.6509906369842]
[(299, 290) 273.0364257378961]
[(299, 294) 281.09961830709585]
[(299, 295) 272.6522161178916]
[(299, 297) 294.3252362353273]
[(299, 298) 282.94098911817576]
[(299, 299) 302.62550316722593]
